Sport,size
Athletics,4429
Swimming,3470
Rowing,3233
Gymnastics,2256
Fencing,1923
Football,1827
Hockey,1738
Wrestling,1440
Shooting,1336
Sailing,1319
Cycling,1263
Handball,1247
Basketball,1223
Water Polo,1213
Canoeing,1165
