feature,importance
NOC_GUA,0.0
NOC_GUI,0.0
NOC_LUX,0.0
NOC_MAD,0.0
NOC_DJI,0.0
NOC_MAL,0.0
NOC_TAN,0.0
NOC_TGA,0.0
NOC_TKM,0.0
NOC_TLS,0.0
NOC_RWA,0.0
NOC_TOG,0.0
NOC_SAM,0.0
NOC_SCG,0.0
NOC_SKN,0.0
NOC_SEN,0.0
NOC_SEY,0.0
NOC_SGP,0.0
NOC_SLE,0.0
NOC_SRI,0.0
NOC_SOM,0.0
NOC_SOL,0.0
NOC_PUR,0.0
NOC_PER,0.0
NOC_PLE,0.0
NOC_SUD,0.0
NOC_ETH,0.0
NOC_DMA,0.0
NOC_ECU,0.0
NOC_ERI,0.0
NOC_FIJ,0.0
NOC_CAY,0.0
NOC_ESA,0.0
NOC_SYR,0.0
NOC_CHA,0.0
NOC_CGO,0.0
NOC_SWZ,0.0
NOC_SUR,0.0
NOC_CPV,0.0
NOC_CYP,0.0
NOC_BHU,0.0
NOC_BER,0.0
NOC_BIH,0.0
NOC_TUV,0.0
NOC_URU,0.0
NOC_UAE,0.0
NOC_VIN,0.0
NOC_STP,0.0
NOC_VAN,0.0
NOC_COK,0.0
NOC_CMR,0.0
NOC_COM,0.0
NOC_ZAM,0.0
NOC_COD,0.0
NOC_CAM,0.0
NOC_CAF,0.0
NOC_BRU,0.0
NOC_BUR,0.0
NOC_BRN,0.0
NOC_BOT,0.0
NOC_BOL,0.0
NOC_BOH,0.0
NOC_BIZ,0.0
NOC_YEM,0.0
NOC_YAR,0.0
NOC_VNM,0.0
NOC_AND,0.0
NOC_ANZ,0.0
NOC_ANT,0.0
NOC_ANG,0.0
