Year,size
1896,37
1900,76
1904,79
1906,65
1908,101
1912,143
1920,133
1924,129
1928,108
1932,114
1936,114
1948,126
1952,126
1956,128
1960,129
1964,135
1968,135
1972,150
1976,147
1980,153
1984,169
1988,175
1992,178
1996,180
2000,190
2004,180
2008,187
2012,190
2016,192
2020,230
2024,230
